ARCHIVO;N;FECHA;HORARIO;ARU;DETECCION;BI
20210416_003000.WAV;1;20210416;3000;a04;1;4.8326
20210416_013000.WAV;2;20210416;13000;a04;0;0.6471
20210416_023000.WAV;3;20210416;23000;a04;0;0.6156
20210416_033000.WAV;4;20210416;33000;a04;0;0.5944
20210416_043000.WAV;5;20210416;43000;a04;0;0.6477
20210416_053000.WAV;6;20210416;53000;a04;0;0.6174
20210416_063000.WAV;7;20210416;63000;a04;0;0.6316
20210416_073000.WAV;8;20210416;73000;a04;0;0.6149
20210416_083000.WAV;9;20210416;83000;a04;0;0.609
20210416_093000.WAV;10;20210416;93000;a04;0;0.6152
20210416_103000.WAV;11;20210416;103000;a04;0;0.6461
20210416_233000.WAV;12;20210416;233000;a04;1;0.8019
20210417_003000.WAV;13;20210417;3000;a04;1;6.6417
20210417_013000.WAV;14;20210417;13000;a04;1;3.6931
20210417_023000.WAV;15;20210417;23000;a04;0;0.726
20210417_033000.WAV;16;20210417;33000;a04;0;0.6657
20210417_043000.WAV;17;20210417;43000;a04;0;0.6996
20210417_053000.WAV;18;20210417;53000;a04;0;0.6399
20210417_063000.WAV;19;20210417;63000;a04;0;0.688
20210417_073000.WAV;20;20210417;73000;a04;0;0.6781
20210417_083000.WAV;21;20210417;83000;a04;0;0.6972
20210417_093000.WAV;22;20210417;93000;a04;0;0.6658
20210417_103000.WAV;23;20210417;103000;a04;0;0.6417
20210417_233000.WAV;24;20210417;233000;a04;1;4.3421
20210418_003000.WAV;25;20210418;3000;a04;1;3.4476
20210418_013000.WAV;26;20210418;13000;a04;1;1.7467
20210418_023000.WAV;27;20210418;23000;a04;0;0.759
20210418_033000.WAV;28;20210418;33000;a04;0;0.704
20210418_043000.WAV;29;20210418;43000;a04;0;0.7557
20210418_053000.WAV;30;20210418;53000;a04;0;0.7587
20210418_063000.WAV;31;20210418;63000;a04;0;0.6999
20210418_073000.WAV;32;20210418;73000;a04;0;0.5654
20210418_083000.WAV;33;20210418;83000;a04;0;0.6372
20210418_093000.WAV;34;20210418;93000;a04;0;0.6656
20210418_103000.WAV;35;20210418;103000;a04;0;0.7013
20210418_233000.WAV;36;20210418;233000;a04;0;0.7337
20210419_003000.WAV;37;20210419;3000;a04;1;6.8483
20210419_013000.WAV;38;20210419;13000;a04;1;1.1463
20210419_023000.WAV;39;20210419;23000;a04;0;0.719
20210419_033000.WAV;40;20210419;33000;a04;0;0.743
20210419_043000.WAV;41;20210419;43000;a04;0;0.7451
20210419_053000.WAV;42;20210419;53000;a04;0;0.7329
20210419_063000.WAV;43;20210419;63000;a04;0;0.6869
20210419_073000.WAV;44;20210419;73000;a04;0;0.6959
20210419_083000.WAV;45;20210419;83000;a04;0;0.7016
20210419_093000.WAV;46;20210419;93000;a04;0;0.662
20210419_103000.WAV;47;20210419;103000;a04;0;0.6618
20210419_233000.WAV;48;20210419;233000;a04;1;1.019
20210420_003000.WAV;49;20210420;3000;a04;1;4.0302
20210420_013000.WAV;50;20210420;13000;a04;1;5.7797
20210420_023000.WAV;51;20210420;23000;a04;0;0.7112
20210420_033000.WAV;52;20210420;33000;a04;0;0.6765
20210420_043000.WAV;53;20210420;43000;a04;0;0.6703
20210420_053000.WAV;54;20210420;53000;a04;0;0.7012
20210420_063000.WAV;55;20210420;63000;a04;0;0.6754
20210420_073000.WAV;56;20210420;73000;a04;0;0.6802
20210420_083000.WAV;57;20210420;83000;a04;0;0.6642
20210420_093000.WAV;58;20210420;93000;a04;0;0.6494
20210420_103000.WAV;59;20210420;103000;a04;0;0.6704
20210420_233000.WAV;60;20210420;233000;a04;1;1.3657
20210421_003000.WAV;61;20210421;3000;a04;1;3.9471
20210421_013000.WAV;62;20210421;13000;a04;1;3.7621
20210421_023000.WAV;63;20210421;23000;a04;0;0.6962
20210421_033000.WAV;64;20210421;33000;a04;0;0.6593
20210421_043000.WAV;65;20210421;43000;a04;0;0.6611
20210421_053000.WAV;66;20210421;53000;a04;0;0.6928
20210421_063000.WAV;67;20210421;63000;a04;0;0.64
20210421_073000.WAV;68;20210421;73000;a04;0;0.6952
20210421_083000.WAV;69;20210421;83000;a04;0;0.6872
20210421_093000.WAV;70;20210421;93000;a04;0;0.6614
20210421_103000.WAV;71;20210421;103000;a04;0;0.7048
20210421_233000.WAV;72;20210421;233000;a04;1;1.2203
20210422_003000.WAV;73;20210422;3000;a04;1;5.6119
20210422_013000.WAV;74;20210422;13000;a04;1;5.18
20210422_023000.WAV;75;20210422;23000;a04;1;1.6684
20210422_033000.WAV;76;20210422;33000;a04;0;0.6935
20210422_043000.WAV;77;20210422;43000;a04;0;0.7232
20210422_053000.WAV;78;20210422;53000;a04;0;0.6894
20210422_063000.WAV;79;20210422;63000;a04;0;0.656
